196 | SAIFPOWER | 7 | 7.2 | 6.9 | 7 | 7.1 | -0.1 | 465 | 10.8670 | 1,544,017 | 
197 | SAMORITA | 66 | 66 | 64.2 | 65.6 | 64.1 | 1.9 | 508 | 10.6520 | 163,430 | 
198 | SAMATALETH | 73.3 | 79.4 | 70.7 | 73.3 | 72.2 | 1.1 | 598 | 10.1940 | 140,421 | 
199 | LIBRAINFU | 777.1 | 790 | 776 | 777.1 | 781.4 | -4.3 | 673 | 10.1820 | 13,047 | 
200 | SILCOPHL | 15.1 | 15.4 | 15.1 | 15.1 | 15.2 | -0.1 | 334 | 9.9820 | 655,315 | 
201 | MAKSONSPIN | 7.3 | 7.5 | 7.1 | 7.3 | 6.9 | 0.4 | 550 | 9.8880 | 1,342,540 | 
202 | CENTRALPHL | 11.1 | 11.5 | 11 | 11.1 | 11.3 | -0.2 | 406 | 9.8000 | 878,651 | 
203 | TITASGAS | 21 | 21.5 | 20.5 | 21 | 21.2 | -0.2 | 552 | 9.7110 | 463,643 | 
204 | PREMIERCEM | 48.5 | 48.9 | 46.8 | 48.5 | 46.8 | 1.7 | 531 | 9.6010 | 201,211 | 
205 | GIB | 3.1 | 3.2 | 3 | 3.1 | 3.1 | 0 | 276 | 9.5370 | 3,086,803 | 
206 | CITYGENINS | 49.9 | 50.9 | 49.5 | 49.9 | 50.1 | -0.2 | 320 | 9.5130 | 190,006 | 
207 | BDAUTOCA | 106.1 | 109.4 | 105.2 | 106.1 | 105.4 | 0.7 | 534 | 9.4250 | 87,552 | 
208 | FARCHEM | 24.3 | 24.9 | 23.9 | 24.3 | 24.2 | 0.1 | 443 | 9.3800 | 387,644 | 
209 | SONARBAINS | 28.1 | 28.7 | 27.8 | 28.1 | 28.9 | -0.8 | 506 | 9.3530 | 332,332 | 
210 | NRBCBANK | 7.5 | 7.6 | 7.2 | 7.5 | 7.2 | 0.3 | 342 | 9.3480 | 1,255,141 | 
211 | DESHBANDHU | 18.7 | 19.3 | 18.5 | 18.7 | 19 | -0.3 | 441 | 8.7820 | 465,153 | 
212 | NAHEEACP | 21.3 | 21.5 | 21.2 | 21.3 | 21.2 | 0.1 | 330 | 8.6580 | 406,219 | 
